PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
PR01,79F7-78EC,2013-01-02,5,4,5,1,0,4,4,4
PR02,B61E-0F26,2013-01-03,5,4,4,1,3,4,4,3
PR03,F5E3-48BB,2013-01-03,3,4,5,3,2,3,5,4
PR04,0678-748A,2013-01-04,5,3,2,2,0,2,3,2
PR05,541F-3E19,2013-01-04,5,2,3,1,0,4,4,3
PR06,F93E-BDEF,2013-01-04,3,3,2,2,0,4,4,4
PR07,9E7A-1F70,2013-01-08,3,4,5,2,1,5,4,3
PR08,05ED-92F1,2013-01-10,4,5,4,1,1,3,3,2
PR09,F72D-261D,2013-01-10,4,5,2,1,1,4,5,4
PR10,774E-685D,2013-01-11,5,4,3,2,3,4,5,4
PR100,B013-7D0C,2013-04-10,4,3,3,2,0,4,3,3
PR1000,528C-3E0D,2016-03-16,4,4,2,2,2,4,5,5
PR1001,D077-169C,2016-03-17,3,5,3,2,2,3,5,5
PR1002,9727-BC84,2016-03-18,4,3,3,2,2,2,4,3
PR1003,DA8E-9496,2016-03-18,3,5,4,1,0,5,5,5
PR1004,DEC5-9319,2016-03-18,3,4,3,2,3,2,4,4
PR1005,88B8-EB84,2016-03-19,3,4,2,3,1,4,5,5
PR1006,9C57-828C,2016-03-19,5,4,2,1,1,2,3,3
PR1007,E1B4-9AA1,2016-03-22,5,4,3,3,2,3,4,3
PR1008,3CD6-5587,2016-03-23,5,4,2,2,0,4,4,3
PR1009,BAFA-86DF,2016-03-23,3,3,4,2,1,2,3,3
PR101,152E-8DB1,2013-04-12,5,2,5,1,0,5,5,4
PR1010,C6D7-A568,2016-03-23,4,2,3,3,0,2,4,4
PR1011,5160-53BD,2016-03-24,4,2,5,1,2,2,5,5
PR1012,81FF-8D6C,2016-03-24,3,4,3,2,0,4,5,4
PR1013,84E7-02D4,2016-03-25,3,5,3,1,1,4,3,3
PR1014,6010-A052,2016-03-25,3,3,3,2,1,5,5,5
PR1015,6176-3BEE,2016-03-27,5,3,2,2,0,5,5,4
PR1016,47A0-559B,2016-03-27,3,5,3,3,0,2,3,3
PR1017,A954-6310,2016-03-27,4,3,4,2,1,5,4,3
PR1018,C525-8BB9,2016-03-27,3,4,4,1,2,3,4,3
PR1019,9AAB-DCD0,2016-03-28,4,4,2,2,1,5,5,4
PR102,52CC-3E9E,2013-04-13,3,3,3,3,1,5,3,3
PR1020,00E4-3D60,2016-03-29,3,3,5,3,0,3,5,4
PR1021,03C5-51AD,2016-03-30,4,4,3,2,0,4,5,4
PR1022,A807-DE5D,2016-03-30,3,5,4,3,2,5,3,3
PR1023,DD04-BDF8,2016-03-30,5,4,2,2,0,2,4,3
PR1024,8FD9-AA59,2016-03-31,5,2,5,1,1,2,5,4
PR1025,86E2-73D1,2016-03-31,5,3,2,2,0,2,4,3
PR1026,1A6D-AF5D,2016-04-01,3,4,5,3,2,5,3,2
PR1027,0210-E0D8,2016-04-02,4,2,2,2,1,4,4,4
PR1028,07B2-D67A,2016-04-02,4,4,5,3,1,4,5,4
PR1029,819A-2C9C,2016-04-02,5,5,3,3,0,3,4,3
